validation_pair_id,evidence_source,condition_group,disease_local_global_id,disease_label,disease_mesh,drug_local_id,drug_name,drugbank_id,gene_symbols,gene_entrez_ids,pool_rows,evidence_classification,condition_match_kind,supporting_record_ids,supporting_phases,supporting_statuses,source_urls,manual_reason,automatic_trial_count,hanami_prefilter_median_top_percent
415e6af8cddca2e973fe,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,8,Choline,DB00122,BCHE,590,32800,phase2_3_registry_match,exact_or_named_subtype,NCT05076682,PHASE2,,,,1,16.282
8051cacc64ea841140ab,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,887,Eribulin,DB08871,BCL2,596,3579,phase2_3_registry_match,exact_or_named_subtype,NCT01388647;NCT01401959;NCT01427933;NCT01498588;NCT01527487;NCT01554371;NCT01593020;NCT01596751;NCT01669252;NCT01705691;NCT01827787;NCT01912963;NCT01941407;NCT02035813;NCT02061085;NCT02215876;NCT02263495;NCT02299999;NCT02344472;NCT02396433;NCT02514681;NCT02555657;NCT02574455;NCT02623972;NCT02681523;NCT02723877;NCT02915744;NCT03032614;NCT03202316;NCT03222856;NCT03264547;NCT03637868;NCT03734029;NCT03786094;NCT03795012;NCT03901339;NCT04303741;NCT04464174;NCT04681911;NCT04745975;NCT04826016;NCT04913571;NCT04986579;NCT05063786;NCT05104866;NCT05402722;NCT05458674;NCT05570253;NCT05810870;NCT05824975;NCT06081959;NCT06102824;NCT06202313;NCT06268652;NCT06279364;NCT06308939;NCT06343948;NCT06382142;NCT06387628;NCT06435429;NCT06449222;NCT06519370;NCT06539559;NCT06731153;NCT06942234;NCT07007559;NCT07173751;NCT07255612;NCT07461454,PHASE1|PHASE2;PHASE2;PHASE3,,,,69,30.595
459e1facbdbc3f4d72a8,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,978,Methylene Blue,DB09241,GUCY1A2,2977,34342,phase2_3_registry_match,exact_or_named_subtype,NCT00784849;NCT01276054,PHASE2,,,,2,47.526
c6a81190093aca4b5b65,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,740,Testosterone Propionate,DB01420,AR,367,5689,phase2_3_registry_match,exact_or_named_subtype,NCT01122342,PHASE1|PHASE2,,,,1,10.106
d4f73bec420597149cb0,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,562,Thalidomide,DB01041,PTGS2; TNF; FGFR2,5743; 7124; 2263,11986;14020;25586,phase2_3_registry_match,exact_or_named_subtype,NCT00193102;NCT02649101,PHASE2,,,,2,1.793
dd2ef982e9d384914d13,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,496,aspirin,DB00945,PTGS2; PTGS1; TP53,5743; 5742; 7157,4743;11682;35223,phase2_3_registry_match,exact_or_named_subtype,NCT00263211;NCT01431053;NCT02927249;NCT03794596;NCT04038489;NCT04188119,PHASE2;PHASE3,,,,6,1.073
e388bb74a07bfbf2df49,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,838,bazedoxifene,DB06401,ESR1,2099,1951,phase2_3_registry_match,exact_or_named_subtype,NCT02448771,PHASE1|PHASE2,,,,1,6.823
388ec0a5de3b8438b49a,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,105,bexarotene,DB00307,RXRB,6257,8746,phase2_3_registry_match,exact_or_named_subtype,NCT00003752,PHASE2,,,,1,49.497
faadd5fd58e1f05fbdda,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,614,bicalutamide,DB01128,AR,367,5628,phase2_3_registry_match,exact_or_named_subtype,NCT00468715;NCT02299999;NCT02348281;NCT02353988;NCT02605486;NCT02697032;NCT02910050;NCT03090165;NCT03650894;NCT05095207;NCT06365788,PHASE1|PHASE2;PHASE2,,,,11,13.203
24ec965ec287444c00bd,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,846,bosutinib,DB06616,ABL1,25,4587,phase2_3_registry_match,exact_or_named_subtype,NCT00793546;NCT00880009;NCT00959946,PHASE1|PHASE2;PHASE2,,,,3,26.288
219e71f7973f1a466718,automatic_phase2_3,breast_oncology,6,Breast Neoplasms,D001943,13,calcitriol,DB00136,VDR,7421,20678,phase2_3_registry_match,exact_or_named_subtype,NCT00904033;NCT01293682,PHASE2,,,,2,21.016
